text,Cleanliness,Electrical,Infrastructure,Safety-Security,Staff,Catering,Medical,General
toilet very dirty,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
garbage on coach floor,1,0,0,0,0,0,0,0
washroom not cleaned,1,0,0,0,0,0,0,0
cockroach in compartment,1,0,0,0,0,0,0,0
AC not cooling,0,1,0,0,0,0,0,0
fan not running,0,1,0,0,0,0,0,0
charging socket burnt,0,1,0,0,0,0,0,0
light not working,0,1,0,0,0,0,0,0
short circuit while charging,0,1,0,0,0,0,0,0
window glass cracked,0,0,1,0,0,0,0,0
door not closing properly,0,0,1,0,0,0,0,0
luggage rack broken,0,0,1,0,0,0,0,0
fight between passengers,0,0,0,1,0,0,0,0
harassment in coach,0,0,0,1,0,0,0,0
suspicious person roaming,0,0,0,1,0,0,0,0
drunk passenger shouting,0,0,0,1,0,0,0,0
staff not helping,0,0,0,0,1,0,0,0
attendant rude behaviour,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
no response from railway staff,0,0,0,0,1,0,0,0
food quality bad,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
pantry not giving meal,0,0,0,0,0,1,0,0
need doctor urgently,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding,0,0,0,0,0,0,1,0
medical help required,0,0,0,0,0,0,1,0
train running late,0,0,0,0,0,0,0,1
need platform information,0,0,0,0,0,0,0,1
seat confirmation query,0,0,0,0,0,0,0,1
where is my train,0,0,0,0,0,0,0,1
charging point not working and passenger threatening me,0,1,0,1,0,0,0,0
people fighting and AC not cooling,0,1,0,1,0,0,0,0
dirty toilet and water leaking near seat,1,0,1,0,0,0,0,0
staff not helping and passenger injured,0,0,0,0,1,0,1,0
food bad and staff rude,0,0,0,0,1,1,0,0
AC not cooling and fight in coach,0,1,0,1,0,0,0,0
charging socket not working and passenger threatening me,0,1,0,1,0,0,0,0
dirty toilet and broken washbasin,1,0,1,0,0,0,0,0
broken seat and AC not working,0,1,1,0,0,0,0,0
staff rude and food quality bad,0,0,0,0,1,1,0,0
pantry staff shouting and overcharging food,0,0,0,0,1,1,0,0
passenger injured and no staff helping,0,0,0,0,1,0,1,0
medical emergency and crowd creating chaos,0,0,0,1,0,0,1,0
thief stole bag and lights not working,0,1,0,1,0,0,0,0
train late and staff misbehaving,0,0,0,0,1,0,0,1
dirty coach and cockroach near seat,1,0,1,0,0,0,0,0
toilet leaking water and floor broken,1,0,1,0,0,0,0,0
AC very hot and passengers arguing loudly,0,1,0,1,0,0,0,0
no electricity and people fighting,0,1,0,1,0,0,0,0
passenger unconscious and staff ignoring,0,0,0,0,1,0,1,0
food expired and pantry staff rude,0,0,0,0,1,1,0,0
washroom dirty and tap broken,1,0,1,0,0,0,0,0
charging port sparking and luggage theft,0,1,0,1,0,0,0,0
child injured and crowd disturbance,0,0,0,1,0,0,1,0
seat broken and fan not working,0,1,1,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
there is dirty toilet,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
facing problem: garbage on floor,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
sir dirty toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
cockroach in coach urgently,1,0,0,0,0,0,0,0
complaint regarding coach very dirty,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
please help coach very dirty,1,0,0,0,0,0,0,0
cockroach in coach urgently,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
garbage on floor urgently,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
there is dirty toilet,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
complaint regarding dirty toilet,1,0,0,0,0,0,0,0
facing problem: cockroach in coach,1,0,0,0,0,0,0,0
facing problem: garbage on floor,1,0,0,0,0,0,0,0
please help bad smell in washroom,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom urgently,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
complaint regarding dirty toilet,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
coach very dirty in my coach,1,0,0,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
coach very dirty urgently,1,0,0,0,0,0,0,0
there is water leaking in toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
